id	batch	condition	fastq1	fastq2	
GSM1216810	LUND	ND_T2D	GSM1216810_clean_R1.fastq.gz	GSM1216810_clean_R2.fastq.gz	
GSM1216811	LUND	ND_T2D	GSM1216811_clean_R1.fastq.gz	GSM1216811_clean_R2.fastq.gz	
GSM1216812	LUND	ND_T2D	GSM1216812_clean_R1.fastq.gz	GSM1216812_clean_R2.fastq.gz	
GSM1216814	LUND	ND_T2D	GSM1216814_clean_R1.fastq.gz	GSM1216814_clean_R2.fastq.gz	
GSM1216815	LUND	ND_T2D	GSM1216815_clean_R1.fastq.gz	GSM1216815_clean_R2.fastq.gz	
GSM1216816	LUND	ND_T2D	GSM1216816_clean_R1.fastq.gz	GSM1216816_clean_R2.fastq.gz	
GSM1216818	LUND	ND_T2D	GSM1216818_clean_R1.fastq.gz	GSM1216818_clean_R2.fastq.gz	
GSM1216819	LUND	ND_T2D	GSM1216819_clean_R1.fastq.gz	GSM1216819_clean_R2.fastq.gz	
GSM1216820	LUND	ND_T2D	GSM1216820_clean_R1.fastq.gz	GSM1216820_clean_R2.fastq.gz	
GSM1216821	LUND	ND_T2D	GSM1216821_clean_R1.fastq.gz	GSM1216821_clean_R2.fastq.gz	
GSM1216822	LUND	ND_T2D	GSM1216822_clean_R1.fastq.gz	GSM1216822_clean_R2.fastq.gz	
GSM1216823	LUND	ND_T2D	GSM1216823_clean_R1.fastq.gz	GSM1216823_clean_R2.fastq.gz	
GSM1216824	LUND	ND_T2D	GSM1216824_clean_R1.fastq.gz	GSM1216824_clean_R2.fastq.gz	
GSM1216825	LUND	ND_T2D	GSM1216825_clean_R1.fastq.gz	GSM1216825_clean_R2.fastq.gz	
GSM1216826	LUND	ND_T2D	GSM1216826_clean_R1.fastq.gz	GSM1216826_clean_R2.fastq.gz	
GSM1216827	LUND	ND_T2D	GSM1216827_clean_R1.fastq.gz	GSM1216827_clean_R2.fastq.gz	
GSM1216832	LUND	ND_T2D	GSM1216832_clean_R1.fastq.gz	GSM1216832_clean_R2.fastq.gz	
GSM1216833	LUND	ND_T2D	GSM1216833_clean_R1.fastq.gz	GSM1216833_clean_R2.fastq.gz	
GSM1216837	LUND	ND_T2D	GSM1216837_clean_R1.fastq.gz	GSM1216837_clean_R2.fastq.gz	
GSM1216838	LUND	ND_T2D	GSM1216838_clean_R1.fastq.gz	GSM1216838_clean_R2.fastq.gz	
GSM1216840	LUND	ND_T2D	GSM1216840_clean_R1.fastq.gz	GSM1216840_clean_R2.fastq.gz	
GSM1216841	LUND	ND_T2D	GSM1216841_clean_R1.fastq.gz	GSM1216841_clean_R2.fastq.gz	
UPI_T2DSyst_093	UPI	T2D	UPI_T2DSyst_093_clean_R1.fq.gz	UPI_T2DSyst_093_clean_R2.fq.gz	
UPI_T2DSyst_171	UPI	T2D	UPI_T2DSyst_171_clean_R1.fq.gz	UPI_T2DSyst_171_clean_R2.fq.gz	
UPI_T2DSyst_180	UPI	T2D	UPI_T2DSyst_180_clean_R1.fq.gz	UPI_T2DSyst_180_clean_R2.fq.gz	
UPI_T2DSyst_209	UPI	T2D	UPI_T2DSyst_209_clean_R1.fq.gz	UPI_T2DSyst_209_clean_R2.fq.gz	
